Subject Path: /work/pl/sch/analysis/data/COBRE001/swaAMAYER+cobre01_63001+M87100944+20110309at135133+RSTpre_V01_R01+CM.nii
[1, 53, 1, 1, 1] 0 (1, 53, 53)
[1, 53, 63, 1, 1] 1 (53, 63, 63)
[1, 53, 63, 63, 1] 2 (63, 46, 63)
ranks: [1, 53, 63, 63, 1]
A Tensor Train variable of shape (53, 63, 46, 144), TT-ranks: (1, 53, 63, 63, 1)
[1, 53, 1, 1, 1] 0 (1, 53, 53)
(5132302000000.0, 98, 0.04740912, 0.04742914, 0.008938508)
(5040857700000.0, 99, 0.04698487, 0.047004707, 0.00894872)
(4950623500000.0, 100, 0.046562444, 0.04658318, 0.008990672)
(4862140500000.0, 101, 0.04614446, 0.04616458, 0.00897687)
(4774932000000.0, 102, 0.045728758, 0.045748774, 0.009008696)
(4689007000000.0, 103, 0.045315444, 0.0453358, 0.009038372)
(4604540500000.0, 104, 0.04490544, 0.0449261, 0.009047808)
(4521572000000.0, 105, 0.04449903, 0.044519078, 0.009050364)
(4439709600000.0, 106, 0.044094365, 0.044114836, 0.009093758)
(4359443700000.0, 107, 0.043693956, 0.04371373, 0.009080732)
(4280304300000.0, 108, 0.043295536, 0.043315496, 0.009118419)
(4202426000000.0, 109, 0.04289986, 0.04292026, 0.009139001)
(4126175400000.0, 110, 0.042508878, 0.04252816, 0.009113792)
(4051018000000.0, 111, 0.042119954, 0.042138867, 0.009149242)
(3977015700000.0, 112, 0.041733466, 0.041752316, 0.009175881)
(3904369900000.0, 113, 0.04135055, 0.041368954, 0.009175254)
(3832815300000.0, 114, 0.040969886, 0.04098845, 0.009205804)
(3762422800000.0, 115, 0.04059192, 0.040610995, 0.009225416)
(3693408700000.0, 116, 0.04021791, 0.040236317, 0.009213944)
(3625364500000.0, 117, 0.039845716, 0.039864264, 0.009254428)
(3558590400000.0, 118, 0.03947706, 0.039495155, 0.009252055)
(3492826800000.0, 119, 0.039110586, 0.039128818, 0.00928325)
(3428250300000.0, 120, 0.038747355, 0.03876563, 0.0092872735)
(3364789000000.0, 121, 0.03838705, 0.03840537, 0.009298863)
(3302365900000.0, 122, 0.038029306, 0.038047835, 0.009319376)
(3240993000000.0, 123, 0.03767427, 0.037692767, 0.009335828)
(3180689000000.0, 124, 0.03732213, 0.037341088, 0.009346976)
(3121546500000.0, 125, 0.036973514, 0.036992017, 0.009340742)
(3063369400000.0, 126, 0.03662735, 0.036646005, 0.009362517)
(3006243300000.0, 127, 0.036284227, 0.036302976, 0.0093679065)
(2950114600000.0, 128, 0.035943903, 0.035962444, 0.00937939)
(2894825800000.0, 129, 0.035605494, 0.035624553, 0.009414923)
(2840603400000.0, 130, 0.03527046, 0.035289302, 0.009409615)
(2787425600000.0, 131, 0.034938756, 0.034956794, 0.009404572)
(2734887000000.0, 132, 0.03460792, 0.034626797, 0.009469015)
(2683359000000.0, 133, 0.034280345, 0.034299497, 0.009465346)
(2632714600000.0, 134, 0.03395531, 0.033974633, 0.0094816815)
(2583024000000.0, 135, 0.033633344, 0.033652335, 0.009482042)
(2534170200000.0, 136, 0.033313762, 0.03333246, 0.009501924)
(2486048000000.0, 137, 0.032995943, 0.033015005, 0.0095401835)
(2438795600000.0, 138, 0.03268086, 0.032699946, 0.009549093)
(2392443000000.0, 139, 0.0323688, 0.032387353, 0.009548712)
(2346910500000.0, 140, 0.0320593, 0.03207698, 0.009561703)
(2301901100000.0, 141, 0.031750396, 0.03176884, 0.009635419)
(2257716200000.0, 142, 0.031444196, 0.03146282, 0.009643981)
(2214319600000.0, 143, 0.031140527, 0.031159265, 0.009657391)
(2171595800000.0, 144, 0.030838646, 0.030858098, 0.009694144)
(2129807300000.0, 145, 0.030540487, 0.03055914, 0.009668362)
(2088684400000.0, 146, 0.030244209, 0.030262478, 0.009701152)
(2048077700000.0, 147, 0.029948773, 0.029967964, 0.00976835)
(2008411300000.0, 148, 0.029657336, 0.029676056, 0.00973118)
(1969401000000.0, 149, 0.0293679, 0.029386332, 0.0097593535)
(1931059500000.0, 150, 0.029080618, 0.029098872, 0.009782155)
(1893423300000.0, 151, 0.028795833, 0.028813781, 0.009792962)
(1856442900000.0, 152, 0.028513242, 0.028531218, 0.009813615)
(1820089400000.0, 153, 0.028232684, 0.02825101, 0.00983954)
(1784461500000.0, 154, 0.027954994, 0.027973147, 0.009835784)
(1749455200000.0, 155, 0.027679436, 0.027697371, 0.009857196)
(1715010300000.0, 156, 0.027405592, 0.027424011, 0.009893418)
(1681258600000.0, 157, 0.027134577, 0.027153311, 0.0098890355)
(1648231800000.0, 158, 0.02686674, 0.026884833, 0.009870698)
(1615795000000.0, 159, 0.02660106, 0.026618939, 0.009888817)
(1583896300000.0, 160, 0.026337175, 0.026355555, 0.009920081)
(1552698200000.0, 161, 0.026076501, 0.026094398, 0.009897549)
(1522092500000.0, 162, 0.025818221, 0.025835674, 0.009904701)
(1492005400000.0, 163, 0.025561776, 0.02557943, 0.009932724)
(1462433900000.0, 164, 0.02530719, 0.025325729, 0.00995965)
(1433576100000.0, 165, 0.025056256, 0.025074108, 0.00991551)
(1405186600000.0, 166, 0.024806917, 0.024825117, 0.009951178)
(1377311100000.0, 167, 0.024559632, 0.02457844, 0.0099683795)
(1350169800000.0, 168, 0.024316441, 0.02433425, 0.009902049)
(1323366200000.0, 169, 0.024073865, 0.02409241, 0.009975802)
(1297205200000.0, 170, 0.023834726, 0.023852922, 0.0099335695)
(1271622000000.0, 171, 0.023598522, 0.023615396, 0.009910074)
(1246419400000.0, 172, 0.0233635, 0.02338016, 0.009959145)
(1221711100000.0, 173, 0.023130769, 0.023147397, 0.009961346)
(1197434900000.0, 174, 0.022899803, 0.022916915, 0.009985234)
(1173650400000.0, 175, 0.022671236, 0.022688817, 0.00998118)
(1150344100000.0, 176, 0.022445004, 0.022462526, 0.0099787805)
(1127535900000.0, 177, 0.022221379, 0.02223865, 0.009963262)
(1105159300000.0, 178, 0.021999775, 0.022017227, 0.00997258)
(1083231400000.0, 179, 0.02178043, 0.021797722, 0.009970333)
(1061693700000.0, 180, 0.021562813, 0.02158015, 0.00999138)
(1040583600000.0, 181, 0.021347366, 0.021364817, 0.009991581)
(1019883160000.0, 182, 0.021133967, 0.021151664, 0.009996527)
(999600400000.0, 183, 0.020922763, 0.02094062, 0.009993556)
(979752200000.0, 184, 0.020713998, 0.020731665, 0.009977901)
(960340360000.0, 185, 0.020507768, 0.020524792, 0.00995608)
(941249270000.0, 186, 0.020302903, 0.02032007, 0.009989624)
(922595400000.0, 187, 0.020100713, 0.020117443, 0.009958681)
(904218300000.0, 188, 0.019899514, 0.019916702, 0.010009556)
(886213640000.0, 189, 0.019700399, 0.019717827, 0.010006019)
(868576850000.0, 190, 0.019503381, 0.019521039, 0.010000689)
(851276660000.0, 191, 0.019308172, 0.019326128, 0.01000898)
(834343900000.0, 192, 0.019115178, 0.019133268, 0.00999547)
(817727400000.0, 193, 0.018923875, 0.018942347, 0.0100079095)
(801557640000.0, 194, 0.01873584, 0.018753352, 0.009936338)
(785570460000.0, 195, 0.018548055, 0.018566063, 0.010022838)
(769952840000.0, 196, 0.018362757, 0.018380666, 0.009990147)
(754648700000.0, 197, 0.018179344, 0.018197043, 0.009988304)
(739636740000.0, 198, 0.017997619, 0.018015146, 0.009996249)
(724906150000.0, 199, 0.017817497, 0.017835187, 0.010008074)
(710476400000.0, 200, 0.017639272, 0.01765706, 0.010002826)
(696359600000.0, 201, 0.01746315, 0.017480586, 0.009984676)
(682498400000.0, 202, 0.017288473, 0.017305851, 0.010002606)
(668927850000.0, 203, 0.01711573, 0.017133111, 0.009991728)
